id,active,category,trigger_pattern,language,extraction_target,example_input,expected_output,edge_cases
1,Y,met-context,"durch X / über X / via X",de,"update_person.how_we_met + add_relationships[label=Vermittelt durch]","„Hab ihn durch Nick kennengelernt""","{how_we_met: ""Durch Nick"", add_relationships: [{related_person_name: ""Nick"", label: ""Vermittelt durch""}]}","X muss als Person erkannt werden — wenn nicht in Liste: vorher create_person für X"
2,Y,met-context,"vor N Jahren / vor N Monaten",de,"update_person.met_date","„Kennengelernt vor 11 Jahren""","{met_date: ""2014-01-01""}","Nur Jahr → 01-01 als Default. Bei Monaten: current_month - N"
3,Y,met-context,"auf der X / bei X / in Y",de,"update_person.met_location","„Auf der Bauma 2024 in München""","{met_location: ""Bauma 2024""}","Stadt + Event: Event gewinnt. Mehrere Orte: ersten nehmen."
4,Y,met-context,"on the X / at X / through X",en,"update_person.how_we_met / met_location / introduced_by","„Met him at SXSW 2023""","{met_location: ""SXSW 2023""}","-"
5,Y,relationship,"X ist Vater von Y / X hat Tochter Y",de,"create_person(X).relationships[label=Vater, related_person_name=Y]","„Marvin ist Vater von Luna""","create_person Marvin + relationship {label: ""Vater"", related_person_name: ""Luna""}","Label aus Sicht des SUBJEKTS: Marvin → Vater VON Luna. NIEMALS umgekehrt"
6,Y,relationship,"X ist Bruder/Schwester von Y",de,"add_relationships[label=Bruder, related_person_name=Y]","„Lars ist Sebastians Bruder""","add_relationships [{label: ""Bruder"", related_person_name: ""Sebastian""}]","Symmetrisch — Server spiegelt auf Sebastian zurück"
7,Y,relationship,"X ist Frau/Mann von Y",de,"add_relationships[label=Ehepartner:in, related_person_name=Y]","„Maria ist die Frau von Felix""","add_relationships [{label: ""Ehepartner:in"", related_person_name: ""Felix""}]","Symmetrisch"
8,Y,relationship,"X ist mein/sein Mentor",de,"add_relationships[label=Mentor:in]","„Tom war mein Mentor bei Stripe""","add_relationships [{label: ""Mentor:in"", related_person_name: ""Tom""}]","Mentor → Mentee Mapping serverseitig"
9,Y,relationship,"X ist Kollege/Co-Founder von Y",de,"add_relationships[label=Kolleg:in oder Co-Founder:in]","„Sind Co-Founder""","add_relationships {label: ""Co-Founder:in""}","Symmetrisch"
10,Y,contact,"Telefon ist / Nummer / +49",de,"add_phones[{value, label=mobile}]","„Telefon +49 173 1234567""","add_phones [{value: ""+49 173 1234567"", label: ""mobile""}]","Default-Label „mobile"". Wenn „privat""/„arbeit""/„iPhone"" gesagt — entsprechend"
11,Y,contact,"Email lautet X / Mail an X",de,"add_emails[{value, label=persönlich}]","„Email ist felix@example.com""","add_emails [{value: ""felix@example.com"", label: ""persönlich""}]","Bei „arbeit-Mail"" Label=arbeit"
12,Y,contact,"LinkedIn-Handle X / linkedin.com/in/X",de,"add_socials[{platform=LinkedIn, handle_or_url}]","„LinkedIn /in/felix-schmitt""","add_socials [{platform: ""LinkedIn"", handle_or_url: ""felix-schmitt""}]","URL oder @handle akzeptiert"
13,Y,contact,"Instagram / Twitter / GitHub",de,"add_socials[{platform, handle_or_url}]","„@felix_codes auf GitHub""","add_socials [{platform: ""GitHub"", handle_or_url: ""felix_codes""}]","-"
14,Y,date,"Geburtstag am X / hat Geburtstag am X",de,"add_important_dates[{label=Geburtstag, date, remind=true}]","„Geburtstag am 26. März""","[{label: ""Geburtstag"", date: ""<current_year>-03-26"", remind: true}]","Jahr default = current_year, oder explizit wenn gesagt. remind default true"
15,Y,date,"Hochzeitstag am / Jahrestag",de,"add_important_dates[{label=Hochzeitstag, date}]","„Hochzeitstag am 14. Mai 2018""","[{label: ""Hochzeitstag"", date: ""2018-05-14"", remind: true}]","-"
16,Y,job,"arbeitet bei X als Y / ist Y bei X",de,"update_person.company=X, role=Y","„Arbeitet bei Stripe als Head of Sales""","{company: ""Stripe"", role: ""Head of Sales""}","Wenn nur „bei X"" — company. Wenn nur „als Y"" — role."
17,Y,job,"hat gegründet / Gründer von X",de,"update_person.role=Gründer, company=X","„Hat Stripe gegründet""","{company: ""Stripe"", role: ""Gründer""}","-"
